Transaction ID,Type,Date,Pickup Date,Reference,Mode,FBA ID,Ship Name,Container,SKU,Warehouse,Notes
TRX-FMC-1748563200000-171,SHIP,2025-05-30,2025-05-30,"UPS-LTL-MIX-SKU-43Boxes- FBA15KDRK23D",LTL,FBA15KDRK23D,"",,CS 007,FMC,""
TRX-FMC-1748563200000-173,SHIP,2025-05-30,2025-05-30,"UPS-LTL-MIX-SKU-43Boxes- FBA15KDRK23D",LTL,FBA15KDRK23D,"",,CS 010,FMC,""
TRX-FMC-1748563200000-172,SHIP,2025-05-30,2025-06-01,"UPS-LTL-MIX-SKU-43Boxes- FBA15KDRK23D",LTL,FBA15KDRK23D,"",,CS 008,FMC,""
TRX-4AS-1748304000000-170,SHIP,2025-05-27,2025-05-28,"UPSLTL-4ASGLOBAL-28Boxes-SKU-CDS-001-FBA15KD7FK64",LTL,FBA15KD7FK64,"",,CS-CDS-001,4AS,""
TRX-VGLOBAL-1747353600000-169,SHIP,2025-05-16,2025-05-16,"VGlobal-INV13-64Boxes-FBA15KC3XG8H- AMZ-F#1001970241",,FBA15KC3XG8H,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1746403200000-168,SHIP,2025-05-05,2025-05-07,"VLGLOBAL-INV13-162Boxes-FBA15K9HNNRQ",,FBA15K9HNNRQ,"",,CS 007,VGLOBAL,""
TRX-FMC-1744934400000-166,SHIP,2025-04-18,2025-04-19,"Mix SKU - 25 CTNS - FMC - FBA15K7TRCBF",,FBA15K7TRCBF,"",,CS 008,FMC,""
TRX-FMC-1744934400000-167,SHIP,2025-04-18,2025-04-18,"Mix SKU - 25 CTNS - FMC - FBA15K7TRCBF",,FBA15K7TRCBF,"",,CS 010,FMC,""
TRX-4AS-1744243200000-165,SHIP,2025-04-10,2025-04-12,"SPD-65 Boxes-Batch4-Glasgow-FBA15K6P9YYH",SPD,FBA15K6P9YYH,"",,CS-CDS-002,4AS,""
TRX-4AS-1744243200000-164,SHIP,2025-04-10,2025-04-11,"SPD-65 Boxes-Batch4-Glasgow-FBA15K6P9YYH",SPD,FBA15K6P9YYH,"",,CS-CDS-001,4AS,""
