Transaction ID,Transaction Date,Transaction Type,Warehouse,SKU Code,Reference ID,Mode of Transportation,Ship Name,Container Number,Notes,Extracted Carrier,Extracted Transport Mode,Extracted FBA ID,Extracted Box Count,Extracted Tracking,Extracted Batch,Extracted Invoice,Reference Format Type,Has Structured Data
TRX-FMC-1748563200000-172,2025-05-29,SHIP,FMC,CS 008,"UPS-LTL-MIX-SKU-43Boxes- FBA15KDRK23D",,,,"",UPS,LTL,FBA15KDRK23D,43,,,,UPS-PREFIX,YES
TRX-FMC-1748563200000-171,2025-05-29,SHIP,FMC,CS 007,"UPS-LTL-MIX-SKU-43Boxes- FBA15KDRK23D",,,,"",UPS,LTL,FBA15KDRK23D,43,,,,UPS-PREFIX,YES
TRX-FMC-1748563200000-173,2025-05-29,SHIP,FMC,CS 010,"UPS-LTL-MIX-SKU-43Boxes- FBA15KDRK23D",,,,"",UPS,LTL,FBA15KDRK23D,43,,,,UPS-PREFIX,YES
TRX-4AS-1748304000000-170,2025-05-26,SHIP,4AS,CS-CDS-001,"UPSLTL-4ASGLOBAL-28Boxes-SKU-CDS-001-FBA15KD7FK64",,,,"",UPS,LTL,FBA15KD7FK64,28,,,,FBA-SHIPMENT,YES
TRX-VGLOBAL-1747353600000-169,2025-05-15,SHIP,VGlobal,CS 011,"VGlobal-INV13-64Boxes-FBA15KC3XG8H- AMZ-F#1001970241",,,,"",,,FBA15KC3XG8H,64,,,13,FBA-SHIPMENT,YES
TRX-VGLOBAL-1746403200000-168,2025-05-04,SHIP,VGlobal,CS 007,"VLGLOBAL-INV13-162Boxes-FBA15K9HNNRQ",,,,"",,,FBA15K9HNNRQ,162,,,13,FBA-SHIPMENT,YES
TRX-FMC-1744934400000-167,2025-04-17,SHIP,FMC,CS 010,"Mix SKU - 25 CTNS - FMC - FBA15K7TRCBF",,,,"",,,FBA15K7TRCBF,25,,,,FBA-SHIPMENT,YES
TRX-FMC-1744934400000-166,2025-04-17,SHIP,FMC,CS 008,"Mix SKU - 25 CTNS - FMC - FBA15K7TRCBF",,,,"",,,FBA15K7TRCBF,25,,,,FBA-SHIPMENT,YES
TRX-4AS-1744243200000-164,2025-04-09,SHIP,4AS,CS-CDS-001,"SPD-65 Boxes-Batch4-Glasgow-FBA15K6P9YYH",,,,"",,SPD,FBA15K6P9YYH,65,,4,,FBA-SHIPMENT,YES
TRX-4AS-1744243200000-165,2025-04-09,SHIP,4AS,CS-CDS-002,"SPD-65 Boxes-Batch4-Glasgow-FBA15K6P9YYH",,,,"",,SPD,FBA15K6P9YYH,65,,4,,FBA-SHIPMENT,YES
TRX-VGLOBAL-1743724800000-163,2025-04-03,SHIP,VGlobal,CS 011,"216 Ctns - VGlobal FBA15K636C58",,,,"",,,FBA15K636C58,216,,,,FBA-SHIPMENT,YES
TRX-VGLOBAL-1743724800000-162,2025-04-03,SHIP,VGlobal,CS 007,"216 Ctns - VGlobal FBA15K636C58",,,,"",,,FBA15K636C58,216,,,,FBA-SHIPMENT,YES
TRX-VGLOBAL-1743724800000-161,2025-04-03,SHIP,VGlobal,CS 007,"216 Ctns - VGlobal FBA15K636C58",,,,"",,,FBA15K636C58,216,,,,FBA-SHIPMENT,YES
TRX-VGLOBAL-1742515200000-160,2025-03-20,SHIP,VGlobal,CS 009,"20 Ctns-Vglobal - FBA15K4SRQVN",,,,"",,,FBA15K4SRQVN,20,,,,FBA-SHIPMENT,YES
TRX-VGLOBAL-1742515200000-159,2025-03-20,SHIP,VGlobal,CS 008,"20 Ctns-Vglobal - FBA15K4SRQVN",,,,"",,,FBA15K4SRQVN,20,,,,FBA-SHIPMENT,YES
